id1,id2
0,4016
1,423
1,1203
1,2980
1,262
2,1268
2,3652
2,1887
2,2316
3,2656
3,3438
3,1645
3,3601
3,2686
3,3441
3,4074
3,815
3,1164
3,1948
3,3572
3,2246
3,376
3,1106
3,1139
3,26
3,321
3,589
3,934
3,2073
3,2255
3,2609
3,2725
3,3182
3,3837
3,865
4,82
4,2627
4,3849
5,271
5,3469
6,3469
7,621
7,868
7,3796
7,2255
8,3822
8,2265
9,3610
10,582
10,2869
10,762
10,118
11,3539
12,1017
12,1297
12,3805
13,2626
13,3601
13,510
14,1380
14,1104
14,1429
14,228
15,2497
15,2037
16,3097
16,4130
17,63
17,1719
17,3896
17,1749
17,3255
17,301
18,1681
18,3681
18,1248
19,1268
19,184
19,3397
20,1292
20,2722
20,2492
20,3839
21,905
21,2497
21,1998
21,2658
21,2669
22,2658
22,2669
23,1691
23,1570
23,97
23,638
24,2139
25,3067
25,1826
25,2342
25,2728
26,3438
26,1645
26,2686
26,491
26,3
26,2088
26,2867
26,4027
26,376
26,2725
26,2246
26,3040
26,1092
26,1106
26,1201
26,3807
26,3993
26,4152
26,3278
26,3806
26,662
27,3136
27,2716
27,1949
27,3330
27,3742
27,3647
28,2138
28,3885
28,1784
28,3492
29,3640
29,3641
29,3388
29,3845
29,490
29,3458
30,2170
30,3114
30,1377
30,1434
30,2270
30,2381
30,53
31,1979
32,675
32,1003
32,1457
32,1966
32,2397
32,2710
32,3264
32,3315
32,3232
32,3578
32,3788
32,3857
32,3859
32,3903
32,774
32,778
32,1244
32,1516
32,1858
32,3528
32,156
33,675
33,1003
33,1457
33,1966
33,2397
33,2537
33,2710
33,3264
33,3315
33,3232
33,3788
33,3857
33,3859
33,3903
33,774
33,1244
33,1516
33,1858
33,156
34,835
34,1538
34,1540
34,1852
34,2109
34,2112
34,2116
34,2635
34,2742
34,3248
34,3357
34,3390
34,3537
34,3867
34,3921
34,167
34,803
34,2524
34,2831
34,2850
34,3134
34,3234
34,3579
34,792
34,925
34,930
34,935
34,1051
34,1265
34,3128
34,3387
34,4117
34,4121
34,946
35,2993
35,1251
35,118
36,371
36,488
36,771
36,1058
36,1332
36,1598
36,1705
36,1891
36,2299
36,2310
36,2480
36,2482
36,3224
36,3420
36,3516
36,4056
36,442
36,1020
36,1745
36,1850
36,2304
36,2382
36,2465
36,2519
36,2550
36,3292
36,3422
36,3504
36,3827
36,820
36,848
36,1395
36,1466
36,1482
36,1739
36,1983
36,2068
36,2308
36,2347
36,2529
36,2656
36,2734
36,2924
36,3275
36,3372
36,3554
36,256
36,486
36,769
37,371
37,488
37,1058
37,1332
37,1598
37,1705
37,1891
37,2299
37,2480
37,3224
37,3420
37,3516
37,4056
37,442
37,1020
37,1745
37,1850
37,2304
37,2382
37,2519
37,2550
37,3292
37,3422
37,3504
37,3827
37,820
37,848
37,1482
37,1739
37,1983
37,2068
37,2308
37,2347
37,2529
37,2656
37,2734
37,2924
37,3372
37,3554
37,256
37,486
37,769
38,2793
38,3687
38,2085
38,3457
38,656
38,787
39,253
39,1274
39,3228
39,3952
39,940
40,1578
40,3410
40,3883
40,2687
40,4055
40,3786
40,577
41,47
41,1462
41,1525
41,2211
41,2704
41,3145
41,431
41,706
41,2202
41,2286
41,1950
41,2198
41,2766
42,236
42,234
42,1910
42,3031
42,3559
42,260
42,779
43,2932
43,1832
43,2571
43,2601
43,3327
43,238
43,407
43,938
43,1846
43,4148
43,1046
43,1920
43,1943
43,2295
43,2364
43,2969
43,3139
43,3353
44,2579
44,3787
45,1872
46,551
47,41
47,431
47,2202
47,648
48,361
48,1970
49,2828
49,2002
50,310
50,3123
50,3539
50,1904
50,2117
50,2429
50,2873
50,3281
50,3873
50,1563
50,2307
50,2838
